taxon,n.taxa
Craibiodendron,4
Pieris,3
Chamaedaphne,1
Gaultheria,52
Leucothoe,2
Vaccinium,129
Agapetes,56
Cassiope,11
Phyllodoce,2
Diplarche,2
Rhododendron,908
Ledum,4
Arctous,3
Monotropa,2
Enkianthus,9
Barringtonia,3
Diospyros,67
Sladenia,2
Stimpsonia,1
Lysimachia,174
Embelia,18
Myrsine,11
Aegiceras,1
Ardisia,71
Primula,389
Omphalogramma,9
Bryocarpum,1
Androsace,86
Pomatosace,1
Samolus,1
Maesa,31
Pentaphylax,1
Euryodendron,1
Eurya,110
Cleyera,13
Adinandra,31
Ternstroemia,15
Anneslea,1
Polemonium,7
Symplocos,58
Shortia,2
Diapensia,3
Berneuxia,1
Huodendron,7
Styrax,43
Alniphyllum,3
Bruinsmia,1
Pterostyrax,2
Halesia,1
Melliodendron,1
Rehderodendron,5
Sinojackia,9
Stewartia,24
Polyspora,6
Apterosperma,1
Camellia,195
Pyrenaria,19
Schima,15
Sarcosperma,6
Eberhardtia,2
Palaquium,1
Diploknema,2
Pouteria,2
Manilkara,1
Madhuca,2
Sinosideroxylon,5
Planchonella,2
Xantolis,6
Impatiens,266
Nepenthes,1
Ancistrocladus,1
Drosera,6
Aldrovanda,1
Frankenia,1
Myricaria,12
Tamarix,20
Reaumuria,4
Limonium,27
Acantholimon,12
Ikonnikovia,1
Goniolimon,6
Plumbago,5
Ceratostigma,5
Antenoron,4
Polygonum,172
Pteroxygonum,1
Calligonum,24
